Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.801277501774308,0.6654929577464789,0.5053475935828877,0.574468085106383,0.8447479914231832
Logistic Regression,0.7991483321504613,0.6426332288401254,0.5481283422459893,0.5916305916305916,0.8402800382340025
Random Forest,0.7877927608232789,0.629757785467128,0.48663101604278075,0.5490196078431373,0.8246790152160995
XGBoost,0.7799858055358411,0.5987654320987654,0.5187165775401069,0.5558739255014327,0.8196323852334082
Decision Tree,0.7295954577714692,0.4910941475826972,0.516042780748663,0.5032594524119948,0.6611847373995712
